GER_prioritize_economic_growth,_
GER_currency_reforms,_
GER_lower_taxes,_
GER_abolish_price_controls,_
GER_increased_trade,_
GER_housing_developments,_
GER_workers_rights,_
GER_industrial_expansion,_
GER_invest_in_vereinigte_stahlwerke,_
GER_agricultural_reforms,_
GER_urbanization,_
GER_wirtschaftswunder,_
GER_mass_production,_
GER_build_defense_industry,_
GER_war_production,_
GER_construct_the_reichsautobahn,_
GER_build_the_rur_dam,_
GER_trade_deal_with_sweden,_
GER_kdf_wagen_factories,_
GER_expand_the_reichsautobahn_south,_
GER_expand_the_reichsautobahn_east,_
GER_develop_heraeus_facilities,_
GER_the_four_year_plan,_
GER_autarky_efforts,_
GER_institute_price_controls,_
GER_establish_the_reichswerke,_
GER_seize_foreign_industries,_
GER_coal_liquefaction,_
GER_subsidize_hoesch_benzin,_
GER_establish_buna_werke,_
GER_autarky_achieved,_
GER_accelerate_the_rearmament_program,_
GER_concentrated_armament_program,_
GER_establish_production_targets,_
GER_zentrale_planung,_
GER_create_rustungsstab,_
GER_armament_rationalization,_
GER_totaler_krieg,_
GER_develop_modern_maneuver_warfare,_
GER_fortify_the_vaterland,_
GER_the_prussian_legacy,_
GER_improve_motorized_troops,_
GER_lessons_of_the_great_war,_
GER_artillery_bombardment,_
GER_stormtroopers,_
GER_all_terrain_military_motorcycle,_
GER_salvage_captured_equipment,_
GER_instill_auftragstaktik,_
GER_establish_the_afrikakorps,_
GER_establish_the_skijager,_
GER_panzergrenadier,_
GER_nationalize_ford_factories,_
GER_kriegslokomotiven,_
GER_improve_the_logistics_system,_
GER_defend_the_vaterland,_
GER_uranverein,_
GER_adopt_new_panzer_doctrine,_
GER_panzer_troops_school,_
GER_advanced_panzer_research,_
GER_expand_kummersdorfs_capacity,_
GER_combined_arms,_
GER_expanding_the_luftwaffe,_
GER_aeronautical_research_institute,_
GER_dive_bombers,_
GER_tactical_bombers,_
GER_uralbomber_program,_
GER_rocketry_innovations,_
GER_fallschirmjager,_
GER_form_the_jagdwaffe,_
GER_reorganize_the_luftwaffe,_
GER_solve_the_logistical_bottlenecks,_
GER_experimental_rotorcrafts,_
GER_develop_the_knickebein,_
GER_defense_of_the_reich,_
GER_construct_the_kammhuber_line,_
